month_num,avg_paid,std_paid,avg_claims,month_name,seasonal_index
1,1325008287.940001,306409730.42762697,23364537.714285713,Jan,102.24999777586979
2,1235839873.9157147,280245482.2703459,22122995.0,Feb,95.36893128093025
3,1372156484.7014296,350700628.71188617,23883563.85714286,Mar,105.88839238658383
4,1255528608.8471446,332279782.58514905,21668927.0,Apr,96.88829770397224
5,1304807772.4157157,347073184.76492476,22268438.42857143,May,100.691137588934
6,1267825505.4157164,294297345.294415,21451825.57142857,Jun,97.83724093567187
7,1272513849.8985727,247185344.88062444,21704043.57142857,Jul,98.19903732389663
8,1346444679.632857,305646983.56668293,23394550.85714286,Aug,103.90422969492057
9,1281289003.261427,294510812.05900913,22404705.42857143,Sep,98.87621000274058
10,1413271088.457144,273136316.77953035,24469717.14285714,Oct,109.06117868599144
11,1291868113.5371444,264715932.459966,21905050.714285713,Nov,99.6925928223866
12,1183666586.3899975,429197587.10991955,19967563.714285713,Dec,91.34275379810234
