category,code_count,total_paid,total_claims,total_bene,provider_count
State Codes (T),107,3232080322.520017,25239570.0,5918304.0,21884
E&M (99xxx),221,1697774941.3800101,29364348.0,23089712.0,105555
Behavioral Health (H),87,1495366481.809994,12378129.0,2458597.0,14199
Medicine,696,1052251800.7699993,24246785.0,14281034.0,92911
Commercial (S),208,880401048.0899968,11083243.0,1627067.0,10958
Dental (D),279,439580698.57999974,12808262.0,10206439.0,39704
Transport/Supplies (A),437,414693278.1100007,9420346.0,4213035.0,15647
Pathology/Lab,1144,400407696.54999983,34872854.0,29718844.0,34019
Other,747,325204124.26999843,4429243.0,2753373.0,13114
Temporary Procedures (G),481,293517903.5900004,5386181.0,3231844.0,20679
Radiology,330,234595342.75000018,5273156.0,4549735.0,14724
Surgery,814,145067802.60999992,7471095.0,6056949.0,31603
Drugs (J),342,104885754.57999969,3557327.0,2232235.0,10883
DME (E),249,88085988.10000023,1311802.0,1141519.0,4770
Vision/Hearing (V),101,28775440.819999997,1475254.0,1281448.0,8351
Anesthesia,137,23387028.15,176236.0,154231.0,2719
Orthotics/Prosthetics (L),183,19052847.43,177118.0,124230.0,1069
