category,code_count,total_paid,total_claims,total_bene,provider_count
State Codes (T),145,160326414508.73404,1205187670.0,297152985.0,55732
E&M (99xxx),250,85251037887.75009,1469133752.0,1159284895.0,267284
Behavioral Health (H),134,73976553752.611,634081883.0,124386080.0,38793
Medicine,921,53074859173.0069,1221666486.0,718967996.0,248232
Commercial (S),288,48459454941.83932,603453495.0,83395769.0,36483
Dental (D),454,22106402266.290222,641746653.0,511695217.0,68578
Transport/Supplies (A),560,20031285982.159958,424571502.0,200822251.0,38464
Pathology/Lab,1452,19900263884.600166,1733905772.0,1478813607.0,77489
Other,1451,17090570359.57984,238394571.0,151107369.0,45256
Temporary Procedures (G),793,13769925675.009884,268603561.0,160244868.0,75191
Radiology,457,11637173414.26025,261427673.0,225323453.0,37287
Surgery,1705,7339310787.859585,378152400.0,307613631.0,88787
Drugs (J),537,5424751003.200069,175187055.0,110578973.0,29548
DME (E),400,4793569435.919989,65377495.0,56731536.0,8430
Vision/Hearing (V),140,1388269901.050001,66880639.0,57739989.0,20614
Anesthesia,264,1138587761.159996,9096895.0,7852831.0,18711
Orthotics/Prosthetics (L),360,942653568.5899994,7851765.0,5627942.0,3875
