HCPCS_CODE,total_paid,total_claims,total_bene,provider_count,avg_cost_per_claim
T1019,60839315325.98999,544552599.0,27663593.0,9488,159.94217964157974
T1015,24609704870.9501,160972398.0,117673708.0,13022,163.48955227586768
T2016,17759598657.570057,34696121.0,2222848.0,1698,1820.0257202944463
99213,16470520689.829163,381960209.0,319581017.0,150854,43.960645763906676
S5125,15664807924.770006,199082723.0,9703807.0,4364,202.76350599229863
99214,14959823896.470245,251287214.0,216475757.0,138317,58.55278740582104
99284,10068263327.54029,85254364.0,77356037.0,19669,106.96633527204006
H2016,9731519733.909977,29785580.0,2091967.0,2009,1107.1443051475048
99283,8465692145.160059,79109186.0,72247312.0,18476,83.46442782238591
H2015,8267202008.930001,54964307.0,10401390.0,3715,162.69552831565483
99285,7527525704.190039,55454975.0,49889081.0,16250,119.50963872743168
90837,6025839323.499887,63477716.0,28383044.0,40782,90.80886132807878
S5102,4646883620.710002,55168008.0,3725261.0,2089,124.1608707031142
90834,4419350787.569985,54409205.0,27136842.0,25507,65.42489882544596
T2021,4369319508.02,27998679.0,2722477.0,2305,349.74700775218486
H2017,4280266606.1299906,39372990.0,6946378.0,4224,118.61949943839993
T1017,4249785996.5300026,37698823.0,15126305.0,4280,112.33776614279382
T1020,4067256824.0199914,16614087.0,2650858.0,999,688.9248183657849
90999,3873228241.899998,45064008.0,3471246.0,4824,95.04163971320109
A0427,3749740670.6199875,16708111.0,13789038.0,5527,212.96465964228116
92507,3748720626.7499795,64745742.0,17890722.0,15684,58.58006110076639
H2019,3733975574.6900096,34867815.0,9402580.0,5211,108.08025466697393
T2033,3609963397.2299943,7875267.0,620845.0,669,2062.618582665444
T1000,3556367320.96,8520148.0,386999.0,476,418.62551149941726
H2014,3392504053.7900043,30642281.0,4638513.0,3595,153.00351130559287
S5140,3290479916.2300057,21181476.0,983611.0,425,715.361590449108
H0004,3286945858.449994,36757617.0,13962091.0,8231,83.92378809281432
H0020,3128359636.480001,155656288.0,11233831.0,1738,42.6909622321556
97530,3112578767.1099854,62938701.0,17779528.0,20498,50.461648623165125
A0429,3010031935.920009,15288343.0,12433134.0,6046,186.56861703073974
H0019,2993097245.1899986,10185227.0,683486.0,715,1074.9796859493326
T1040,2933041264.339999,15253887.0,4669172.0,511,126.70196394178707
99509,2778111202.1400023,39529148.0,2589107.0,1799,103.02965091996943
S5126,2772741347.219999,30542480.0,1226686.0,76,395.1113144651346
00003,2688092154.3200026,10149453.0,7220951.0,687,284.9235004803638
T2023,2663025943.859997,6424770.0,5961748.0,1236,456.1082246489861
97153,2628601470.209997,13217237.0,1019009.0,2014,189.87233803737104
T1016,2604349020.560009,48742052.0,16805348.0,4462,77.61977722088126
S9124,2479211986.0899997,5935773.0,447496.0,632,460.75572351429724
97110,2472436637.0599947,67674576.0,19363286.0,23362,35.03330056582802
S5130,2446875535.060003,43618800.0,3887302.0,3050,115.73519715361078
H2036,2346734392.5399995,9149325.0,758881.0,935,712.8941152094989
T2031,2344571028.68,7223804.0,888674.0,1901,1165.1003903925523
H0036,2251640465.679978,28252738.0,6805747.0,2493,82.85191322336266
G0463,2219359549.5500073,36243307.0,29050875.0,3121,63.13971655927518
H0018,2177766402.68,5283822.0,656285.0,964,1037.0255728721468
T2046,2081068290.1799989,6914501.0,498926.0,795,1788.6078120597813
U0003,2072381416.569998,34592891.0,24852762.0,5128,66.35845343416177
A0100,2015205820.390009,77445329.0,12643636.0,1826,32.01343522673056
H2022,1990442201.1799982,3973299.0,516379.0,492,1780.5749845113733
