HCPCS_CODE,total_paid,total_claims,total_bene,provider_count,avg_cost_per_claim
T1019,1292520737.09,12315781.0,596233.0,3219,157.02311608755505
T1015,485775443.3400015,3181595.0,2311041.0,6033,162.68231713289106
99213,330772052.67999977,7625108.0,6386974.0,46165,44.102111068957505
T2016,327928439.48,652343.0,42373.0,550,1885.3265747175462
99214,300030290.8399995,5018543.0,4322140.0,41214,58.522422699640856
S5125,291929653.94999975,3669332.0,179163.0,1545,219.88791097726815
H2016,210784949.49000034,596546.0,41097.0,555,1047.788076118287
99284,201747778.78999943,1712064.0,1551122.0,7140,106.89973609657787
H2015,171437845.94999984,1044978.0,204575.0,1160,162.58591556433322
99283,161253396.82999992,1546112.0,1413254.0,6992,82.94943372123723
99285,148517244.04000002,1120970.0,1006808.0,5656,120.09956244283535
90837,118871129.21000016,1255274.0,558159.0,9812,90.82703526167407
90834,92138829.54999988,1124588.0,558201.0,6210,65.5491062752511
T2021,89833131.24999973,578252.0,56679.0,790,341.8527761934137
S5102,87559396.62,1034334.0,71077.0,707,127.73055278023608
H2017,81830522.41999988,755275.0,131818.0,1241,117.12341741638097
T1017,80176428.97,740323.0,294335.0,1396,112.05216114583996
T1000,80093666.47000004,194894.0,8819.0,161,414.39296673852203
T1020,78353185.32999997,306197.0,59521.0,324,773.3755835975738
T2033,76894785.69000003,154242.0,12925.0,183,2047.6870173036507
92507,74541938.28000003,1264456.0,348884.0,4845,58.54484215819254
H2014,72414682.52000012,616881.0,93226.0,856,145.0831211259811
90999,71345607.45000021,872087.0,67383.0,1749,96.63687541860486
A0427,68687540.95,325894.0,270182.0,2098,222.85729956802504
H0004,68277050.09999995,710727.0,265730.0,2389,83.93384992811492
H2019,67177635.13000007,641795.0,181068.0,1414,109.4515297864833
A0100,66256322.45000002,2307717.0,370719.0,386,34.01981358269899
H0019,60436124.239999995,230819.0,14609.0,228,1051.9388421097974
H0020,60418013.12999999,2932641.0,221781.0,618,43.00778788264936
97530,59367941.56999999,1209911.0,344105.0,5546,50.71752185443034
A0429,58581504.679999925,327662.0,266216.0,2018,188.4469322577125
T1040,57011127.97999995,296424.0,95543.0,143,128.73719968057796
S5140,56375927.209999986,347107.0,17272.0,123,648.034050525096
H0018,55383874.83999998,118466.0,15675.0,241,1157.358065474281
99509,55103446.419999935,837884.0,63064.0,596,89.46920419843012
00003,54495782.84000006,204056.0,145377.0,445,287.4468591355977
H2036,51577059.46000003,192302.0,16222.0,253,773.1229607609724
T1016,50678797.25999997,1056952.0,361183.0,1245,69.5292282723043
T2023,50193112.77000001,138381.0,132685.0,421,446.22714128484506
S5130,48716296.51999995,894804.0,77217.0,892,112.33638240136376
97153,48618203.25,236296.0,18538.0,440,191.54222990380262
97110,47856888.49999995,1348756.0,380800.0,6113,34.8871790238981
G0463,46713848.07,723307.0,576689.0,1332,63.806295114414944
S9124,46451450.429999985,104678.0,7709.0,175,497.2485711417503
T2031,45919320.579999916,141061.0,17571.0,484,1114.7020896662907
T2046,41342378.89000003,135466.0,9764.0,209,1840.4121324229134
H0036,40340664.009999976,525667.0,130397.0,881,87.14731089886466
T2022,40061435.92000005,193387.0,182547.0,470,244.40001956765713
H0015,39555977.55000003,275718.0,39287.0,667,146.47294983054843
D0120,38966878.30000001,1382119.0,1323377.0,14176,28.748992352507692
