category,code_count,total_paid,total_claims,total_bene,provider_count
State Codes (T),154,321061661631.35815,2422328793.0,593838429.0,58450
E&M (99xxx),258,170600143237.07294,2938960812.0,2318048959.0,287885
Behavioral Health (H),145,148555481255.5735,1270703872.0,249075704.0,41281
Medicine,957,105976455038.53612,2441306616.0,1437651669.0,266983
Commercial (S),299,95718397855.45065,1194301341.0,166209325.0,39214
Dental (D),478,44219602431.62045,1283705950.0,1023567846.0,70934
Transport/Supplies (A),584,40292811487.05908,857543990.0,402780570.0,40847
Pathology/Lab,1489,40030692351.12463,3472643474.0,2961238925.0,83415
Other,1577,34170039667.922436,475725697.0,301338825.0,49963
Temporary Procedures (G),832,27693286490.272495,537560775.0,320314983.0,84234
Radiology,476,23280961204.67123,522915396.0,450734299.0,40793
Surgery,1831,14693282993.376003,757784231.0,615203917.0,96763
Drugs (J),567,10807712747.21027,350311757.0,221226611.0,32233
DME (E),410,9511049243.509907,130871808.0,113608623.0,8817
Vision/Hearing (V),148,2773962920.160008,134960423.0,116089479.0,21748
Anesthesia,292,2290873866.79999,18231824.0,15755311.0,22219
Orthotics/Prosthetics (L),384,1886419090.7199986,15707253.0,11274372.0,4371
