month_num,avg_paid,std_paid,avg_claims,month_name,seasonal_index
1,13366247629.947124,3099928074.8732715,235525713.57142857,Jan,102.6703511227935
2,12431362778.78709,3086631741.1713176,219768663.42857143,Feb,95.48920660225308
3,13585358715.258574,3557006986.239895,237661648.2857143,Mar,104.35341226954495
4,12835594426.844242,3490521203.913254,220381770.2857143,Apr,98.59423700345457
5,13210697554.611431,3528152150.7677565,225110601.2857143,May,101.4755220807136
6,12654554465.721357,3049052476.0531645,214542154.7142857,Jun,97.20361213323308
7,12863128690.249989,2841066863.832105,217131706.2857143,Jul,98.80573633894808
8,13541412759.998549,3152637159.4126706,234067520.0,Aug,104.01584956818783
9,13116941512.125727,2942677672.1169853,226675096.14285713,Sep,100.75535243636824
10,13983456532.685684,2740624516.308379,242107736.0,Oct,107.41132678886626
11,12958739658.22995,2693204858.7601256,219164441.85714287,Nov,99.54015424930454
12,11675767205.884228,4156614387.1805687,197229235.57142857,Dec,89.68523940633243
